date,team1,team2,league_id,prob1,prob2,probTie,odd1,odd2,oddTie,bookmaker1,bookmaker2,bookmakerTie,outcome1,outcome2,outcomeTie,bankroll1,bankroll2,bankrollTie,profit1,profit2,profitTie,Unnamed: 22,Unnamed: 23,0.1539937560159738,20,0.04039265644297968,1.2397092125563838,1.0314498090716278,0.3236535089513031,0.05922729882439546,0.0002857081467650529,Unnamed: 32,treshold =,0.044721359549995794,Unnamed: 35,Unnamed: 36,bankroll1.1,bankroll2.1,bankrollTie.1,vol1,vol2,volTie
13-02-2021,Werder Bremen,Freiburg,1845,0.3316846169304754,0.3776147879984227,0.2907005950711018,2.77,2.52,3.1,betano,betano,betano,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Stuttgart,Hertha Berlin,1845,0.4271215474403434,0.2869296778512407,0.2859487747084158,2.12,3.1,3.45,betano,betano,betano,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Bayer Leverkusen,Mainz,1845,0.6176590567953947,0.1479447261756135,0.2343962170289918,1.47,5.8,4.4,betano,betano,betano,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Northampton,Burton,2413,0.373754506404229,0.3344726572036635,0.2917728363921074,2.47,2.27,3.0,betano,betano,betano,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Shrewsbury,Ipswich,2413,0.3732181098492978,0.3117124059858952,0.315069484164807,2.3,2.65,2.72,betano,betano,betano,,,,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Spal,Empoli,1856,0.3614161892110605,0.3376601804410008,0.3009236303479387,2.7,2.47,3.05,betano,betano,betano,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Motherwell,Hamilton,2417,0.4932575451467104,0.2311321958204436,0.275610259032846,1.76,4.4,3.4,luckia,luckia,luckia,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Cambridge Utd,Southend,2414,0.5494314751486724,0.1894521402234067,0.2611163846279208,1.001,1.001,1.001,,,,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Dundee Utd,Livingston,2417,0.2698055256277758,0.4563659680282457,0.2738285063439785,4.0,2.0,3.05,luckia,luckia,luckia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Aberdeen,St. Mirren,2417,0.4495698500100662,0.2635590052025101,0.2868711447874237,2.0,3.75,3.1,luckia,luckia,luckia,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Rangers,Kilmarnock,2417,0.7960362666600841,0.06874942342557876,0.1352143099143371,1.16,12.0,7.25,betano,luckia,luckia,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Huddersfield,Wycombe,2412,0.5482378017121166,0.1902470794091062,0.2615151188787772,1.65,4.8,3.45,betano,betano,betano,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Watford,Bristol City,2412,0.6182695349057784,0.1461628629180133,0.2355676021762083,1.55,5.6,3.6,betano,betano,betano,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Derby,Middlesbrough,2412,0.3241895797566027,0.3622026524486394,0.3136077677947579,2.67,2.6,2.95,betano,betano,betano,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Sunderland,Doncaster,2413,0.5169840202335978,0.2122142129941865,0.2708017667722157,1.8,3.55,2.95,betano,betano,betano,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Charlton,Gillingham,2413,0.5312714894971322,0.201248191160416,0.2674803193424518,1.72,3.65,3.05,betano,betano,betano,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Hull,MK Dons,2413,0.5104079056040516,0.215552776603939,0.2740393177920094,1.9,3.15,3.0,betano,betano,betano,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Cardiff,Coventry,2412,0.4482834464576511,0.2674353626179061,0.2842811909244428,2.0,3.5,3.2,betano,betano,betano,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Crystal Palace,Burnley,2411,0.3647050750975309,0.3225037936011612,0.3127911313013078,2.52,3.0,2.87,betano,betano,betano,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
13-02-2021,Bolton,Stevenage,2414,0.4732562347485491,0.2473906638983719,0.279353101353079,1.001,1.001,1.001,,,,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
