date,team1,team2,league_id,prob1,prob2,probTie,odd1,odd2,oddTie,bookmaker1,bookmaker2,bookmakerTie,outcome1,outcome2,outcomeTie,bankroll1,bankroll2,bankrollTie,profit1,profit2,profitTie,Unnamed: 22,Unnamed: 23,0,0.1,Unnamed: 26,1.1029,0.99971,0.09432977186519154,0.046837256025266914,0.0012366272217892256,Unnamed: 32,treshold =,0.15
30-01-2021,Sheffield Wed,Preston,2412,0.3444331822530457,0.358248129696224,0.2973186880507303,2.72,2.42,3.1,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Forest Green,Cheltenham,2414,0.3654921473796777,0.3346426844998487,0.2998651681204735,1.001,1.001,1.001,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Manchester City,Sheffield Utd,2411,0.8422204104063741,0.05040662446384037,0.1073729651297857,1.14,25.0,7.6,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Northampton,Wigan,2413,0.4166980939891272,0.3158990218170071,0.2674028841938657,2.05,2.8,3.0,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,AFC Wimbledon,MK Dons,2413,0.2943861023257567,0.4426552640134652,0.2629586336607782,3.0,1.93,3.0,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Hull,Swindon,2413,0.7312961831591706,0.1061126531771278,0.1625911636637017,1.35,5.7,3.75,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Cambridge Utd,Crawley,2414,0.3997563977187697,0.3093757447060957,0.2908678575751346,1.001,1.001,1.001,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Oldham,Salford,2414,0.3424023024513471,0.3790053108934414,0.2785923866552116,1.001,1.001,1.001,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Lincoln,Doncaster,2413,0.4411417942447651,0.2905385697089414,0.2683196360462936,1.93,3.2,2.87,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Morecambe,Tranmere,2414,0.4280057190036865,0.2872220031601667,0.2847722778361467,1.001,1.001,1.001,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Grimsby,Stevenage,2414,0.3588677394158371,0.3397073684067819,0.3014248921773811,1.001,1.001,1.001,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Port Vale,Southend,2414,0.5328619774181689,0.2036807427049544,0.2634572798768767,1.001,1.001,1.001,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Bristol Rovers,Rochdale,2413,0.4725504510657935,0.2738194553352737,0.2536300935989327,1.9,3.05,3.1,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Rotherham,Swansea,2412,0.3072873552912628,0.407402410542189,0.2853102341665482,3.2,2.3,2.87,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Shrewsbury,Peterborough,2413,0.333007709819894,0.3876759584750965,0.2793163317050096,2.72,2.2,2.8,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Charlton,Portsmouth,2413,0.3689387191150157,0.3539475617552467,0.2771137191297376,2.52,2.25,2.95,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Walsall,Mansfield,2414,0.366400744147782,0.3431377919593521,0.290461463892866,1.001,1.001,1.001,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Crystal Palace,Wolves,2411,0.3444752828344943,0.3710551796649799,0.2844695375005259,3.05,2.62,2.92,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Birmingham,Coventry,2412,0.3402804228074785,0.3606009156289753,0.2991186615635463,2.75,2.55,2.92,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Oxford Utd,Fleetwood,2413,0.4433354303081788,0.2733452112462965,0.2833193584455246,1.95,3.15,2.87,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Derby,Bristol City,2412,0.4799843622213861,0.2368240147132144,0.2831916230653995,1.87,4.1,3.15,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Bolton,Leyton Orient,2414,0.4547464263322289,0.2628780457191787,0.2823755279485924,1.001,1.001,1.001,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,West Brom,Fulham,2411,0.3110007858025902,0.4152127463479764,0.2737864678494334,3.4,2.25,3.25,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Cardiff,Millwall,2412,0.4052449124659545,0.2994306022684771,0.2953244852655684,2.3,3.05,2.95,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Brentford,Wycombe,2412,0.7103199596374695,0.1127079861072156,0.176972054255315,1.34,7.9,4.45,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Blackburn,Luton,2412,0.5020564583775113,0.2237261956698911,0.2742173459525974,1.83,4.05,3.25,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Plymouth,Accrington,2413,0.4099991985251626,0.3115927644697051,0.2784080370051323,2.15,2.52,3.15,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Crewe,Ipswich,2413,0.4732074321517201,0.2535697685869073,0.2732227992613726,1.95,3.15,2.85,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Bradford City,Barrow,2414,0.4250627351254213,0.2749993007141712,0.2999379641604075,1.001,1.001,1.001,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Pisa,Reggiana,1856,0.4990229280410261,0.2326542534880109,0.268322818470963,1.87,3.75,3.4,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Dundee Utd,Hibernian,2417,0.2400814981902221,0.509417363215408,0.2505011385943699,4.5,1.68,3.65,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Nottingham,Barnsley,2412,0.3708292560912144,0.3351949281275113,0.2939758157812741,2.37,2.85,3.05,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,R. Oviedo,Albacete,1871,0.5096386012969099,0.1987618518804767,0.2915995468226135,1.75,4.65,3.15,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Huddersfield,Stoke,2412,0.3254224597787473,0.3868657514512751,0.2877117887699776,3.0,2.3,3.0,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Livingston,Aberdeen,2417,0.3818191506271228,0.3226956010954162,0.295485248277461,2.6,2.8,2.9,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Celtic,St. Mirren,2417,0.7291168409433197,0.1009122805954138,0.1699708784612664,1.3,8.0,5.25,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Kilmarnock,St Johnstone,2417,0.3000788250640722,0.4329057176829724,0.2670154572529555,4.2,1.86,3.2,,,,,,,0.03535900872396394,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,KV Mechelen,Genk,1832,0.456007374227123,0.2920559565678041,0.2519366692050728,2.15,2.87,3.55,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
